number,Name,Symbol
1,Bitcoin,BTC-USD
2,Ethereum,ETH-USD
3,Tether USDt,USDT-USD
4,BNB,BNB-USD
5,Solana,SOL-USD
6,XRP,XRP-USD
7,USDC,USDC-USD
8,Dogecoin,DOGE-USD
9,Toncoin,TON-USD
10,Cardano,ADA-USD
11,Avalanche,AVAX-USD
12,Shiba Inu,SHIB-USD
13,Bitcoin Cash,BCH-USD
14,Polkadot,DOT-USD
15,TRON,TRX-USD
16,Chainlink,LINK-USD
17,Polygon,MATIC-USD
18,NEAR Protocol,NEAR-USD
19,Internet Computer,ICP-USD
20,Litecoin,LTC-USD
21,Uniswap,UNI-USD
22,UNUS SED LEO,LEO-USD
23,Dai,DAI-USD
24,Ethereum Classic,ETC-USD
25,Aptos,APT-USD
26,Filecoin,FIL-USD
27,Stacks,STX-USD
28,Bittensor,TAO-USD
29,Mantle,MNT-USD
30,Cosmos,ATOM-USD
31,Cronos,CRO-USD
32,Arbitrum,ARB-USD
33,Stellar,XLM-USD
34,Immutable,IMX-USD
35,dogwifhat,WIF-USD
36,Hedera,HBAR-USD
37,Render,RNDR-USD
38,VeChain,VET-USD
39,OKB,OKB-USD
40,First Digital USD,FDUSD-USD
41,Kaspa,KAS-USD
42,Maker,MKR-USD
43,Injective,INJ-USD
44,The Graph,GRT-USD
45,Optimism,OP-USD
46,Pepe,PEPE-USD
47,Theta Network,THETA-USD
48,Fantom,FTM-USD
49,Monero,XMR-USD
50,THORChain,RUNE-USD
51,Lido DAO,LDO-USD
52,Fetch.ai,FET-USD
53,Ethena,ENA-USD
54,Arweave,AR-USD
55,Celestia,TIA-USD
56,Core,CORE-USD
57,Sui,SUI-USD
58,FLOKI,FLOKI-USD
59,Algorand,ALGO-USD
60,Bitcoin SV,BSV-USD
61,Gala,GALA-USD
62,Bitget Token,BGB-USD
63,Jupiter,JUP-USD
64,Flow,FLOW-USD
65,Aave,AAVE-USD
66,Sei,SEI-USD
67,Pendle,PENDLE-USD
68,Beam,BEAM-USD
69,Neo,NEO-USD
70,ORDI,ORDI-USD
71,Wormhole,W-USD
72,BitTorrent (New),BTT-USD
73,Bonk,BONK-USD
74,Flare,FLR-USD
75,MultiversX,EGLD-USD
76,Quant,QNT-USD
77,dYdX (Native),DYDX-USD
78,The Sandbox,SAND-USD
79,eCash,XEC-USD
80,Axie Infinity,AXS-USD
81,Nervos Network,CKB-USD
82,Starknet,STRK-USD
83,SingularityNET,AGIX-USD
84,Conflux,CFX-USD
85,Chiliz,CHZ-USD
86,Synthetix,SNX-USD
87,Tezos,XTZ-USD
88,EOS,EOS-USD
89,JasmyCoin,JASMY-USD
90,Worldcoin,WLD-USD
91,Pyth Network,PYTH-USD
92,Decentraland,MANA-USD
93,Ronin,RON-USD
94,Mina,MINA-USD
95,Ondo,ONDO-USD
96,SATS,1000SATS-USD
97,Kava,KAVA-USD
98,ApeCoin,APE-USD
99,KuCoin Token,KCS-USD
100,Helium,HNT-USD
101,IOTA,IOTA-USD
102,Gnosis,GNO-USD
103,Akash Network,AKT-USD
104,PancakeSwap,CAKE-USD
105,Ribbon Finance,RBN-USD
106,Klaytn,KLAY-USD
107,Axelar,AXL-USD
108,AIOZ Network,AIOZ-USD
109,dYdX (ethDYDX),ETHDYDX-USD
110,Oasis Network,ROSE-USD
111,Osmosis,OSMO-USD
112,Nexo,NEXO-USD
113,Bitcoin Gold,BTG-USD
114,Blur,BLUR-USD
115,Echelon Prime,PRIME-USD
116,GateToken,GT-USD
117,WOO,WOO-USD
118,Terra Classic,LUNC-USD
119,Theta Fuel,TFUEL-USD
120,Astar,ASTR-USD
121,Radix,XRD-USD
122,Curve DAO Token,CRV-USD
123,WEMIX,WEMIX-USD
124,USDD,USDD-USD
125,IoTeX,IOTX-USD
126,MANTRA,OM-USD
