,Symbol,Name
7187,20MICRONS.NS,20 Microns Limited
7188,21STCENMGM.NS,Twentyfirst Century Management Services Limited
7189,3IINFOLTD.NS,3i Infotech Limited
7190,3IINFOTECH.NS,3i Infotech Limited
7191,3MINDIA.NS,3M India Limited
7192,3PLAND.NS,3P Land Holdings Ltd
7193,5PAISA.NS,5paisa Capital Limited
7194,63MOONS.NS,63 Moons Technologies Ltd
7195,A2ZINFRA.NS,A2Z Infra Engineering Limited
7196,AAKASH.NS,Aakash Exploration Services Limited
7197,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited
7198,AARON.NS,Aaron Industries Limited
7199,AARTIDRUGS.NS,Aarti Drugs Limited
7200,AARTIIND.NS,Aarti Industries Limited
7201,AARTISURF.NS,Aarti Surfactants Limited
7202,AARVEEDEN.NS,Aarvee Denims and Exports Limited
7203,AARVI.NS,Aarvi Encon Limited
7204,AAVAS.NS,Aavas Financiers Limited
7205,ABAN.NS,Aban Offshore Limited
7206,ABB.NS,ABB India Limited
7207,ABBOTINDIA.NS,Abbott India Limited
7208,ABCAPITAL.NS,Aditya Birla Capital Limited
7209,ABFRL.NS,Aditya Birla Fashion and Retail Limited
7210,ABMINTLLTD.NS,ABM International Limited
7211,ABMINTLTD.NS,ABM International Limited
7212,ABSLNN50ET.NS,ABSL AMC Ltd - Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Nifty Next 50 ETF
7213,ACC.NS,ACC Limited
7214,ACCELYA.NS,Accelya Solutions India Limited
7215,ACCURACY.NS,Accuracy Shipping Limited
7216,ACE.NS,Action Construction Equipment Limited
7217,ACRYSIL.NS,Acrysil Limited
7218,ADANIENT.NS,Adani Enterprises Limited
7219,ADANIGREEN.NS,Adani Green Energy Limited
7220,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
7221,ADANIPOWER.NS,Adani Power Limited
7222,ADANITRANS.NS,Adani Transmission Limited
7223,ADFFOODS.NS,ADF Foods Limited
7224,ADL.NS,Archidply Decor Limited
7225,ADORWELD.NS,Ador Welding Limited
7226,ADROITINFO.NS,Adroit Infotech Limited
7227,ADSL.NS,Allied Digital Services Limited
7228,ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited
7229,ADVENZYMES.NS,Advanced Enzyme Technologies Limited
7230,AEGISCHEM.NS,Aegis Logistics Limited
7231,AFFLE.NS,Affle (India) Limited
7232,AGARIND.NS,Agarwal Industrial Corporation Limited
7233,AGCNET.NS,AGC Networks Limited
7234,AGRITECH.NS,Agri-tech (India) Limited
7235,AGROPHOS.NS,Agro Phos (India) Limited
7236,AHLADA.NS,Ahlada Engineers Limited
7237,AHLEAST.NS,Asian Hotels (East) Limited
7238,AHLUCONT.NS,Ahluwalia Contracts (India) Limited
7239,AHLWEST.NS,Asian Hotels (West) Limited
7240,AIAENG.NS,AIA Engineering Limited
7241,AIRAN.NS,Airan Limited
7242,AJANTPHARM.NS,Ajanta Pharma Limited
7243,AJMERA.NS,Ajmera Realty & Infra India Limited
7244,AJOONI.NS,Ajooni Biotech Limited
7245,AJRINFRA.NS,AJR Infra and Tolling Limited
7246,AKASH.NS,Akash Infra-Projects Limited
7247,AKG.NS,AKG Exim Limited
7248,AKSHARCHEM.NS,AksharChem (India) Limited
7249,AKSHOPTFBR.NS,Aksh Optifibre Limited
7250,AKZOINDIA.NS,Akzo Nobel India Limited
7251,ALANKIT.NS,Alankit Limited
7252,ALBERTDAVD.NS,Albert David Limited
7253,ALCHEM.NS,Alchemist Limited
7254,ALEMBICLTD.NS,Alembic Limited
7255,ALICON.NS,Alicon Castalloy Limited
7256,ALKALI.NS,Alkali Metals Limited
7257,ALKEM.NS,Alkem Laboratories Limited
7258,ALKYLAMINE.NS,Alkyl Amines Chemicals Limited
7259,ALLCARGO.NS,Allcargo Logistics Limited
7260,ALLSEC.NS,Allsec Technologies Limited
7261,ALMONDZ.NS,Almondz Global Securities Limited
7262,ALOKINDS.NS,Alok Industries Limited
7263,ALPA.NS,Alpa Laboratories Limited
7264,ALPHAGEO.NS,Alphageo (India) Limited
7265,ALPSINDUS.NS,Alps Industries Limited
7266,AMARAJABAT.NS,Amara Raja Batteries Limited
7267,AMBER.NS,Amber Enterprises India Limited
7268,AMBICAAGAR.NS,Ambica Agarbathies Aroma & Industries Limited
7269,AMBIKCO.NS,Ambika Cotton Mills Limited
7270,AMBUJACEM.NS,Ambuja Cements Limited
7271,AMDIND.NS,AMD Industries Limited
7272,AMIORG.NS,Ami Organics Limited
7273,AMJLAND.NS,AMJ Land Holdings Limited
7274,AMRUTANJAN.NS,Amrutanjan Health Care Limited
7275,ANANTRAJ.NS,Anant Raj Limited
7276,ANDHRACEMT.NS,Andhra Cements Limited
7277,ANDHRAPAP.NS,Andhra Paper Limited
7278,ANDHRSUGAR.NS,The Andhra Sugars Limited
7279,ANDREWYU.NS,Andrew Yule & Company Limited
7280,ANGELBRKG.NS,Angel One Limited
7281,ANIKINDS.NS,Anik Industries Limited
7282,ANKITMETAL.NS,Ankit Metal & Power Limited
7283,ANMOL.NS,Anmol India Limited
7284,ANSALAPI.NS,Ansal Properties & Infrastructure Limited
7285,ANSALHSG.NS,Ansal Housing Limited
7286,ANTGRAPHIC.NS,Antarctica Limited
7287,ANUP.NS,The Anup Engineering Limited
7288,ANURAS.NS,Anupam Rasayan India Limited
7289,APARINDS.NS,Apar Industries Limited
7290,APCL.NS,Anjani Portland Cement Limited
7291,APCOTEXIND.NS,Apcotex Industries Limited
7292,APEX.NS,Apex Frozen Foods Limited
7293,APLAPOLLO.NS,APL Apollo Tubes Limited
7294,APLLTD.NS,Alembic Pharmaceuticals Limited
7295,APOLLO.NS,Apollo Micro Systems Limited
7296,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited
7297,APOLLOPIPE.NS,Apollo Pipes Limited
7298,APOLLOTYRE.NS,Apollo Tyres Limited
7299,APOLSINHOT.NS,Apollo Sindoori Hotels Limited
7300,APTECHT.NS,Aptech Limited
7301,APTUS.NS,Aptus Value Housing Finance India Limited
7302,ARCHIDPLY.NS,Archidply Industries Limited
7303,ARCHIES.NS,Archies Limited
7304,ARCOTECH.NS,Arcotech Limited
7305,ARENTERP.NS,Rajdarshan Industries Limited
7306,ARIES.NS,Aries Agro Limited
7307,ARIHANT.NS,Arihant Foundations & Housing Limited
7308,ARIHANTCAP.NS,Arihant Capital Markets Limited
7309,ARIHANTSUP.NS,Arihant Superstructures Limited
7310,ARMANFIN.NS,Arman Financial Services Limited
7311,AROGRANITE.NS,Aro Granite Industries Limited
7312,ARROWGREEN.NS,Arrow Greentech Limited
7313,ARSHIYA.NS,Arshiya Limited
7314,ARSSINFRA.NS,ARSS Infrastructure Projects Limited
7315,ARTEMISMED.NS,Artemis Medicare Services Limited
7316,ARVEE.NS,Arvee Laboratories (India) Ltd.
7317,ARVIND.NS,Arvind Limited
7318,ARVINDFASN.NS,Arvind Fashions Limited
7319,ARVSMART.NS,Arvind SmartSpaces Limited
7320,ASAHIINDIA.NS,Asahi India Glass Limited
7321,ASAHISONG.NS,Asahi Songwon Colors Limited
7322,ASAL.NS,Automotive Stampings and Assemblies Limited
7323,ASALCBR.NS,Associated Alcohols & Breweries Limited
7324,ASHAPURMIN.NS,Ashapura Minechem Limited
7325,ASHIANA.NS,Ashiana Housing Limited
7326,ASHIMASYN.NS,Ashima Limited
7327,ASHOKA.NS,Ashoka Buildcon Limited
7328,ASHOKLEY.NS,Ashok Leyland Limited
7329,ASIANHOTNR.NS,Asian Hotels (North) Limited
7330,ASIANPAINT.NS,Asian Paints Limited
7331,ASIAN-RE.NS,
7332,ASIANTILES.NS,Asian Granito India Limited
7333,ASPINWALL.NS,Aspinwall and Company Limited
7334,ASTEC.NS,Astec LifeSciences Limited
7335,ASTERDM.NS,Aster DM Healthcare Limited
7336,ASTRAL.NS,Astral Limited
7337,ASTRAMICRO.NS,Astra Microwave Products Limited
7338,ASTRAZEN.NS,AstraZeneca Pharma India Limited
7339,ASTRON.NS,Astron Paper & Board Mill Limited
7340,ATFL.NS,Agro Tech Foods Limited
7341,ATGL.NS,Adani Total Gas Limited
7342,ATLANTA.NS,Atlanta Limited
7343,ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited
7344,ATNINTER.NS,ATN International Limited
7345,ATUL.NS,Atul Ltd
7346,ATULAUTO.NS,Atul Auto Limited
7347,AUBANK.NS,AU Small Finance Bank Limited
7348,AURIONPRO.NS,Aurionpro Solutions Limited
7349,AUROPHARMA.NS,Aurobindo Pharma Limited
7350,AUSOMENT.NS,Ausom Enterprise Limited
7351,AUTOAXLES.NS,Automotive Axles Limited
7352,AUTOIND.NS,Autoline Industries Limited
7353,AUTOLITIND.NS,Autolite (India) Limited
7354,AVADHSUGAR.NS,Avadh Sugar & Energy Limited
7355,AVANTIFEED.NS,Avanti Feeds Limited
7356,AVTNPL.NS,AVT Natural Products Limited
7357,AWHCL.NS,Antony Waste Handling Cell Limited
7358,AXISBANK.NS,Axis Bank Limited
7359,AXISCADES.NS,Axiscades Technologies Limited
7360,AYMSYNTEX.NS,AYM Syntex Limited
7361,BAFNAPH.NS,Bafna Pharmaceuticals Limited
7362,BAGFILMS.NS,B.A.G. Films and Media Limited
7363,BAJAJ-AUTO.NS,Bajaj Auto Limited
7364,BAJAJCON.NS,Bajaj Consumer Care Limited
7365,BAJAJELEC.NS,Bajaj Electricals Limited
7366,BAJAJFINSV.NS,Bajaj Finserv Ltd.
