Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
20MICRONS.NS,20 Microns Limited
21STCENMGM.NS,Twentyfirst Century Management Services Limited
3IINFOLTD.NS,3i Infotech Limited
3IINFOTECH.NS,3i Infotech Limited
3MINDIA.NS,3M India Limited
3PLAND.NS,3P Land Holdings Ltd
5PAISA.NS,5paisa Capital Limited
63MOONS.NS,63 Moons Technologies Ltd
A2ZINFRA.NS,A2Z Infra Engineering Limited
AAKASH.NS,Aakash Exploration Services Limited
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited
AARON.NS,Aaron Industries Limited
AARTIDRUGS.NS,Aarti Drugs Limited
AARTIIND.NS,Aarti Industries Limited
AARTISURF.NS,Aarti Surfactants Limited
AARVEEDEN.NS,Aarvee Denims and Exports Limited
AARVI.NS,Aarvi Encon Limited
AAVAS.NS,Aavas Financiers Limited
ABAN.NS,Aban Offshore Limited
ABB.NS,ABB India Limited
ABBOTINDIA.NS,Abbott India Limited
ABCAPITAL.NS,Aditya Birla Capital Limited
ABFRL.NS,Aditya Birla Fashion and Retail Limited
ABMINTLLTD.NS,ABM International Limited
ABMINTLTD.NS,ABM International Limited
ABSLNN50ET.NS,ABSL AMC Ltd - Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Nifty Next 50 ETF
ACC.NS,ACC Limited
ACCELYA.NS,Accelya Solutions India Limited
ACCURACY.NS,Accuracy Shipping Limited
ACE.NS,Action Construction Equipment Limited
ACRYSIL.NS,Acrysil Limited
ADANIENT.NS,Adani Enterprises Limited
ADANIGREEN.NS,Adani Green Energy Limited
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
ADANIPOWER.NS,Adani Power Limited
ADANITRANS.NS,Adani Transmission Limited
ADFFOODS.NS,ADF Foods Limited
ADL.NS,Archidply Decor Limited
ADORWELD.NS,Ador Welding Limited
ADROITINFO.NS,Adroit Infotech Limited
ADSL.NS,Allied Digital Services Limited
ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited
ADVENZYMES.NS,Advanced Enzyme Technologies Limited
AEGISCHEM.NS,Aegis Logistics Limited
AFFLE.NS,Affle (India) Limited
AGARIND.NS,Agarwal Industrial Corporation Limited
AGCNET.NS,AGC Networks Limited
AGRITECH.NS,Agri-tech (India) Limited
AGROPHOS.NS,Agro Phos (India) Limited
AHLADA.NS,Ahlada Engineers Limited
AHLEAST.NS,Asian Hotels (East) Limited
AHLUCONT.NS,Ahluwalia Contracts (India) Limited
AHLWEST.NS,Asian Hotels (West) Limited
AIAENG.NS,AIA Engineering Limited
AIRAN.NS,Airan Limited
AJANTPHARM.NS,Ajanta Pharma Limited
AJMERA.NS,Ajmera Realty & Infra India Limited
AJOONI.NS,Ajooni Biotech Limited
AJRINFRA.NS,AJR Infra and Tolling Limited
AKASH.NS,Akash Infra-Projects Limited
AKG.NS,AKG Exim Limited
AKSHARCHEM.NS,AksharChem (India) Limited
AKSHOPTFBR.NS,Aksh Optifibre Limited
AKZOINDIA.NS,Akzo Nobel India Limited
ALANKIT.NS,Alankit Limited
ALBERTDAVD.NS,Albert David Limited
ALCHEM.NS,Alchemist Limited
ALEMBICLTD.NS,Alembic Limited
ALICON.NS,Alicon Castalloy Limited
ALKALI.NS,Alkali Metals Limited
ALKEM.NS,Alkem Laboratories Limited
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited
ALLCARGO.NS,Allcargo Logistics Limited
ALLSEC.NS,Allsec Technologies Limited
ALMONDZ.NS,Almondz Global Securities Limited
ALOKINDS.NS,Alok Industries Limited
ALPA.NS,Alpa Laboratories Limited
ALPHAGEO.NS,Alphageo (India) Limited
ALPSINDUS.NS,Alps Industries Limited
AMARAJABAT.NS,Amara Raja Batteries Limited
AMBER.NS,Amber Enterprises India Limited
AMBICAAGAR.NS,Ambica Agarbathies Aroma & Industries Limited
AMBIKCO.NS,Ambika Cotton Mills Limited
AMBUJACEM.NS,Ambuja Cements Limited
AMDIND.NS,AMD Industries Limited
AMIORG.NS,Ami Organics Limited
AMJLAND.NS,AMJ Land Holdings Limited
AMRUTANJAN.NS,Amrutanjan Health Care Limited
ANANTRAJ.NS,Anant Raj Limited
ANDHRACEMT.NS,Andhra Cements Limited
ANDHRAPAP.NS,Andhra Paper Limited
ANDHRSUGAR.NS,The Andhra Sugars Limited
ANDREWYU.NS,Andrew Yule & Company Limited
ANGELBRKG.NS,Angel One Limited
ANIKINDS.NS,Anik Industries Limited
ANKITMETAL.NS,Ankit Metal & Power Limited
ANMOL.NS,Anmol India Limited
ANSALAPI.NS,Ansal Properties & Infrastructure Limited
ANSALHSG.NS,Ansal Housing Limited
ANTGRAPHIC.NS,Antarctica Limited
ANUP.NS,The Anup Engineering Limited
ANURAS.NS,Anupam Rasayan India Limited
APARINDS.NS,Apar Industries Limited
APCL.NS,Anjani Portland Cement Limited
APCOTEXIND.NS,Apcotex Industries Limited
APEX.NS,Apex Frozen Foods Limited
APLAPOLLO.NS,APL Apollo Tubes Limited
